name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm
R. Aponzá,29,Colombia,174,70,68,CAM,78,57,60,70,27,60,64,68,72,66,1.0,1.74
André Claro,27,Portugal,183,75,68,LW,69,64,62,70,37,65,71,67,67,64,1.0,1.83
F. Poli,29,Italy,185,75,68,CB,69,18,33,50,67,75,76,78,73,24,0.0,1.85
A. Hammoudan,26,Morocco,176,67,68,RW,81,63,61,71,27,59,66,62,73,58,1.0,1.76
D. Calderón Caicedo,28,Colombia,180,86,68,ST,70,70,48,65,22,64,62,70,65,51,1.0,1.8
F. Falcone,28,Argentina,188,79,68,ST,54,70,46,63,23,64,60,69,57,47,1.0,1.88
J. Fuentes,34,Chile,169,75,68,CM,63,58,68,63,49,63,75,59,71,78,0.0,1.69
Y. Hinestroza,33,Colombia,169,68,68,RB,69,47,56,65,67,63,76,56,84,47,1.0,1.69
É. Palomino,32,Colombia,170,60,68,LW,88,65,60,68,26,54,59,57,86,62,1.0,1.7
O. Vásquez,28,Colombia,165,63,68,CAM,69,62,65,68,43,43,64,33,86,71,0.0,1.65
B. Jović,27,Slovenia,178,69,68,RB,79,43,63,66,65,61,59,63,65,52,1.0,1.78
J. Lonwijk,23,Netherlands,189,85,68,CM,70,62,65,67,60,75,79,78,70,68,1.0,1.89
N. Dyhr,22,Denmark,177,66,68,LB,79,55,61,67,62,67,76,66,75,59,0.0,1.77
Úmaro Embaló,22,Portugal,170,63,68,LW,84,61,63,72,31,64,64,66,82,60,0.0,1.7
J. Okkels,23,Denmark,183,75,68,LW,82,61,64,69,37,64,72,63,81,69,1.0,1.83
A. Fisher,25,England,183,73,68,GK,52,67,68,41,67,42,35,42,41,48,1.0,1.83
J. Pretell,24,Peru,173,72,68,CDM,69,50,65,66,64,69,84,62,71,59,1.0,1.73
Y. Congo,25,Colombia,177,77,68,CDM,67,56,62,66,65,66,80,60,61,64,1.0,1.77
C. Humphreys-Grant,24,England,185,82,68,CB,64,32,48,54,68,72,65,78,64,39,1.0,1.85
Adson,22,Brazil,171,57,68,RW,74,56,69,73,41,43,47,38,76,70,0.0,1.71
A. Zeqiri,22,Kosovo,185,74,68,LW,72,71,62,69,32,55,69,55,72,65,1.0,1.85
J. D'Arrigo,23,Peru,170,70,68,RW,84,62,61,71,48,60,75,57,69,62,1.0,1.7
N. Soldo,22,Croatia,189,78,68,CB,56,31,54,54,70,69,61,75,52,55,1.0,1.89
Barbu,22,Spain,189,74,68,CB,47,29,48,45,69,64,43,73,42,39,1.0,1.89
A. Meli,22,Argentina,175,71,68,LB,77,48,62,69,58,64,77,58,76,50,0.0,1.75
A. Issah,24,Ghana,173,69,68,LW,88,69,51,72,27,66,62,62,79,43,1.0,1.73
H. Ahmed,23,Qatar,188,75,68,LB,76,47,60,61,62,70,83,69,59,52,0.0,1.88
J. Cordoval,30,France,169,61,68,RB,78,31,54,63,64,61,82,46,89,37,1.0,1.69
F. Fontanini,30,Argentina,181,80,68,CB,39,41,47,51,68,76,74,78,58,37,1.0,1.81
R. de la Fuente,29,Chile,175,75,68,LB,74,49,63,68,62,71,70,72,72,52,0.0,1.75
L. Barrera,29,Argentina,179,79,68,LW,75,64,63,69,44,61,64,60,70,64,0.0,1.79
Diego Medeiros,24,Brazil,187,75,68,LW,77,63,63,69,34,65,70,69,76,66,1.0,1.87
Gian Martins,24,Brazil,184,74,68,CM,72,54,64,72,53,75,78,72,75,58,0.0,1.84
A. Mbengue,25,Senegal,187,78,68,ST,73,71,45,64,23,62,76,62,74,47,1.0,1.87
J. Ortiz,24,Colombia,176,74,68,RW,75,59,65,69,36,70,68,73,73,67,1.0,1.76
Ença Fati,23,Guinea Bissau,180,68,68,LW,79,62,57,71,28,53,60,58,75,58,1.0,1.8
K. Bayramyan,25,Russia,169,57,68,LB,74,55,68,74,63,42,57,30,92,69,1.0,1.69
I. Chaykovskyi,25,Ukraine,171,69,68,CDM,64,50,65,64,64,64,71,55,62,65,1.0,1.71
V. Shakhov,26,Russia,192,78,68,CB,55,37,44,44,70,69,68,72,45,29,1.0,1.92
Sergio Marcos,25,Spain,176,69,68,CM,61,61,70,68,48,58,66,60,74,70,0.0,1.76
A. Tzanetopoulos,22,Greece,193,85,68,CB,46,28,43,45,68,75,70,79,44,29,0.0,1.93
V. Jugović,28,Croatia,178,69,68,CM,73,63,64,68,61,68,75,64,72,68,1.0,1.78
T. Nedelev,27,Bulgaria,177,72,68,RW,69,68,66,68,31,54,65,50,73,65,0.0,1.77
F. Moumbagna,23,Cameroon,185,82,68,ST,86,64,52,65,27,79,68,88,71,55,0.0,1.85
M. Al Harbi,23,Saudi Arabia,177,60,68,LB,93,54,65,70,55,62,87,58,87,69,0.0,1.77
J. Bocanegra,24,Colombia,170,75,68,CAM,72,60,66,72,31,55,54,65,73,67,0.0,1.7
M. Al Shanqeeti,24,Saudi Arabia,173,70,68,RB,82,42,55,64,62,67,76,65,73,46,1.0,1.73
R. Hoffmann,24,Germany,192,86,68,GK,48,66,68,31,69,52,15,52,31,51,1.0,1.92
K. Karataş,20,Turkey,182,74,68,LB,79,57,59,66,64,70,72,69,73,57,0.0,1.82
S. El Karouani,22,Morocco,178,74,68,LB,75,42,61,66,62,67,83,59,73,60,0.0,1.78
Dani Martín,24,Spain,187,77,68,GK,58,67,67,55,68,66,30,66,55,49,1.0,1.87
L. Millar,23,Canada,181,75,68,LW,84,63,61,71,22,58,59,68,82,62,1.0,1.81
F. Aksoy,25,Turkey,189,78,68,CB,37,42,54,60,70,72,74,74,57,51,1.0,1.89
T. Tillman,24,Germany,183,74,68,CM,69,56,65,74,48,64,70,67,74,65,1.0,1.83
K. Tagawa,24,Japan,181,73,68,ST,86,67,60,68,31,73,74,75,76,64,0.0,1.81
M. Andersen,24,Denmark,170,64,68,CM,68,59,67,71,61,72,82,71,77,70,1.0,1.7
M. Sylla,23,France,181,70,68,RW,84,64,57,69,24,64,73,67,80,57,1.0,1.81
F. Bilbija,23,Germany,189,78,68,LW,68,55,64,68,31,65,79,69,73,64,1.0,1.89
K. Vaesen,22,Belgium,190,82,68,ST,58,68,59,64,32,65,46,78,61,57,1.0,1.9
A. Cayetano,23,Uruguay,179,77,68,LB,65,35,58,50,66,62,71,66,57,38,0.0,1.79
J. Hugonet,23,France,183,82,68,CB,64,31,52,53,68,75,75,77,60,48,1.0,1.83
A. Cordea,24,Romania,180,75,68,RW,88,61,63,69,37,70,78,67,85,61,0.0,1.8
M. Svoboda,24,Austria,195,85,68,CB,62,44,53,58,66,79,70,87,34,55,1.0,1.95
G. Hirst,24,England,191,81,68,ST,72,66,50,63,34,73,67,80,61,53,1.0,1.91
K. Haug,25,Norway,187,85,68,GK,57,68,68,47,69,59,27,59,47,40,1.0,1.87
N. Blom,23,South Africa,173,67,68,CDM,77,28,57,65,70,64,73,63,72,39,1.0,1.73
T. Raschl,23,Germany,177,75,68,CM,60,55,65,71,58,65,75,63,77,70,1.0,1.77
J. Sirois,22,Canada,183,73,68,GK,52,59,55,22,69,50,33,50,22,50,1.0,1.83
T. Ducrocq,23,France,176,62,68,CDM,73,45,63,66,66,69,80,66,83,67,1.0,1.76
D. Pines,25,United States,185,91,68,CB,72,22,39,46,68,76,65,83,66,32,1.0,1.85
B. Castrillón,24,Colombia,169,57,68,LW,84,62,58,74,41,49,64,45,88,62,1.0,1.69
K. Zenón,21,Argentina,180,70,68,LW,83,63,65,72,52,58,66,53,84,66,0.0,1.8
K. Pestka,24,Poland,189,67,68,LB,77,40,59,62,64,72,80,71,69,57,0.0,1.89
K. Buchanan,26,South Africa,170,69,68,CAM,74,48,67,70,38,57,67,55,65,68,1.0,1.7
G. Baah,25,Ghana,184,84,68,CB,77,46,46,52,65,79,77,81,53,33,0.0,1.84
J. Assoubre,24,Côte d'Ivoire,180,67,68,RW,86,57,57,75,28,62,57,74,86,56,1.0,1.8
L. de la Cruz,29,Paraguay,176,68,68,RB,71,52,56,69,66,69,75,65,80,53,1.0,1.76
M. Novick,36,Uruguay,171,65,68,CDM,56,35,59,49,65,80,72,84,52,60,1.0,1.71
J. Breitez,34,Ecuador,174,71,68,LB,78,34,54,63,69,77,75,77,72,44,0.0,1.74
J. Mejídez,35,Ecuador,168,62,68,RW,77,59,62,72,29,49,74,36,81,60,1.0,1.68
S. Srnić,28,Serbia,174,64,68,RW,68,63,67,69,44,55,66,48,68,66,1.0,1.74
A. Turgeman,29,Israel,178,74,68,ST,72,67,44,68,26,67,79,75,71,46,1.0,1.78
H. Amin,28,Afghanistan,174,69,68,LB,79,47,59,69,61,59,82,46,82,53,0.0,1.74
P. Herrmann,32,Germany,180,80,68,RB,73,23,52,55,66,72,75,70,64,31,1.0,1.8
E. Esterilla,27,Ecuador,177,62,68,RW,79,51,60,69,23,53,72,56,72,60,0.0,1.77
Renato Rochela,28,Brazil,188,77,68,CAM,60,63,68,69,33,65,58,74,70,68,0.0,1.88
J. Sánchez,32,Colombia,177,77,68,CDM,69,62,66,67,63,73,73,76,78,65,1.0,1.77
E. Kaş,28,Turkey,183,75,68,LB,74,62,66,68,64,66,66,63,70,64,0.0,1.83
D. Terentyev,24,Russia,180,72,68,RB,74,43,61,62,66,61,73,59,59,59,1.0,1.8
V. Podberezkin,25,Russia,187,76,68,RW,63,65,66,69,63,61,64,62,69,70,1.0,1.87
N. Teixeira,26,Germany,177,70,68,RB,78,50,63,69,65,63,72,56,80,54,1.0,1.77
Manuel Torres,26,Spain,175,67,68,RW,91,55,61,72,40,52,65,47,83,60,1.0,1.75
İ. Depe,27,Turkey,172,66,68,RW,79,46,66,72,26,57,65,56,77,63,0.0,1.72
J. Fortes,31,Cape Verde Islands,183,75,68,RB,77,47,59,61,66,75,74,75,68,54,1.0,1.83
Hugo Marques,34,Angola,193,88,68,GK,46,64,64,27,68,66,28,66,27,45,1.0,1.93
Y. Kashiwagi,32,Japan,176,73,68,CAM,58,64,72,67,48,57,41,70,58,72,0.0,1.76
F. Özçal,26,Turkey,170,70,68,CM,73,60,65,69,51,63,72,57,73,67,0.0,1.7
P. Sadeghian,25,Iran,174,70,68,LW,74,62,69,69,35,53,52,48,71,79,1.0,1.74
A. Demircan,26,Turkey,193,94,68,GK,59,64,64,36,70,58,26,58,36,48,1.0,1.93
Y. Tejeda,25,Costa Rica,179,71,68,CM,66,55,64,68,66,75,78,74,62,61,1.0,1.79
N. Şahin,27,Turkey,191,85,68,GK,58,65,64,40,69,65,25,65,40,35,1.0,1.91
Luis Felipe,26,Brazil,178,74,68,RB,69,54,61,69,69,64,48,70,69,52,1.0,1.78
G. Koffie,25,Ghana,183,70,68,CDM,70,59,60,68,64,79,80,80,68,62,1.0,1.83
Thiago Cardoso,25,Brazil,185,82,68,CB,54,36,45,49,66,69,47,79,56,33,1.0,1.85
Álex Menéndez,25,Spain,181,67,68,LB,74,67,67,71,61,64,62,66,72,66,0.0,1.81
G. Coutinho,34,Netherlands,180,74,68,GK,62,62,60,65,69,56,40,56,65,52,1.0,1.8
Luís Alberto,33,Brazil,183,78,68,CDM,49,62,61,65,70,66,34,73,62,61,1.0,1.83
L. Kruse,33,Germany,185,84,68,GK,56,60,56,41,69,64,32,64,41,30,1.0,1.85
S. Luaibi,25,Iraq,180,74,68,CDM,52,62,69,66,65,70,70,72,56,70,1.0,1.8
Adriá Carmona,25,Spain,170,70,68,LW,76,60,67,72,30,49,49,56,81,64,0.0,1.7
D. Rakels,24,Latvia,179,73,68,ST,74,65,57,69,27,71,75,72,75,51,1.0,1.79
P. Hidi,26,Hungary,186,78,68,CM,59,64,73,66,51,57,65,62,64,72,0.0,1.86
I. Pelizzoli,36,Italy,194,89,68,GK,58,66,65,51,68,60,32,60,51,22,1.0,1.94
M. Antonsson,36,Sweden,189,80,68,CB,34,35,44,43,67,67,32,80,43,40,1.0,1.89
B. Cheyrou,36,France,182,79,68,CM,43,62,69,69,65,63,45,67,53,63,0.0,1.82
F. Silva,26,Argentina,174,73,68,LW,75,58,61,73,46,60,60,57,77,56,1.0,1.74
Vasco Costa,25,Portugal,184,78,68,ST,67,64,54,69,24,66,62,75,68,57,1.0,1.84
A. Miljković,27,Serbia,184,76,68,RB,69,46,56,62,70,72,72,73,64,50,1.0,1.84
W. Arboleda,27,Colombia,176,74,68,CAM,75,62,66,70,35,62,70,63,76,68,1.0,1.76
M. Williams,26,Trinidad and Tobago,185,77,68,LB,68,29,58,63,67,76,71,80,49,56,1.0,1.85
G. Skondras,27,Greece,179,79,68,RB,71,51,57,60,68,73,77,70,68,45,1.0,1.79
Zubiaurre,26,Spain,190,80,68,GK,51,66,66,33,67,58,22,58,33,52,0.0,1.9
B. Grougi,33,France,173,70,68,CDM,62,68,73,67,63,56,55,56,73,74,1.0,1.73
M. Morisbak Skjønsberg,34,Norway,183,80,68,CB,33,43,49,48,67,78,75,80,62,44,1.0,1.83
J. Amione,27,Mexico,173,77,68,ST,71,67,58,68,23,75,66,75,73,52,0.0,1.73
T. Mézague,27,France,187,88,68,CB,50,32,50,40,66,78,67,86,48,46,1.0,1.87
S. Terekhov,27,Russia,180,74,68,LB,66,57,57,64,66,58,72,59,58,46,0.0,1.8
E. Makeev,27,Russia,183,73,68,CB,77,52,62,68,67,67,65,64,68,62,1.0,1.83
D. Tumasyan,32,Russia,185,72,68,CB,56,49,50,53,69,62,44,70,52,34,1.0,1.85
M. Rask,34,Denmark,185,70,68,CB,45,29,59,50,68,74,74,80,57,50,1.0,1.85
K. Doyle,33,Republic of Ireland,183,81,68,ST,64,66,62,66,37,69,72,65,67,64,1.0,1.83
Peña,33,Spain,181,80,68,LB,67,42,61,64,67,70,72,72,70,49,0.0,1.81
K. Zengin,32,Turkey,177,78,68,RB,76,59,60,70,64,65,72,63,73,66,1.0,1.77
Edú,35,Brazil,185,80,68,ST,54,68,63,65,47,70,54,79,64,57,0.0,1.85
J. Hooiveld,34,Netherlands,194,92,68,CB,32,45,53,50,66,67,30,82,32,52,0.0,1.94
D. Callà,32,Switzerland,176,79,68,RW,71,67,63,68,32,68,72,68,70,56,1.0,1.76
S. Diarra,33,Mali,176,74,68,LW,76,61,67,67,43,64,65,67,74,68,0.0,1.76
D. Heymans,24,Belgium,193,79,68,CF,54,70,66,66,56,68,72,70,62,66,1.0,1.93
M. Sørensen,24,Denmark,193,92,68,CB,52,34,53,58,69,73,65,79,51,39,0.0,1.93
F. Saravia,24,Peru,175,75,68,GK,45,62,61,37,68,50,19,50,37,22,1.0,1.75
S. Montiel,22,Argentina,166,60,68,LW,71,59,62,68,62,52,70,37,66,67,0.0,1.66
B. Martínez,23,Argentina,170,75,68,RW,82,65,60,73,41,63,50,68,82,58,1.0,1.7
M. Bird,22,England,183,77,68,CDM,67,53,65,67,64,61,74,58,66,66,0.0,1.83
J. Mbom,23,Germany,183,80,68,CM,71,60,66,68,64,73,75,74,69,65,1.0,1.83
R. Mina,23,Ecuador,184,84,68,CB,66,37,52,53,67,75,69,81,70,30,1.0,1.84
E. Navas,23,Venezuela,175,66,68,RW,87,64,63,66,37,64,65,67,90,73,1.0,1.75
C. Larotonda,24,Venezuela,175,74,68,CDM,65,61,62,63,66,72,84,70,61,68,1.0,1.75
B. Balcı,23,Turkey,173,69,68,RB,74,44,60,67,64,63,78,55,73,53,1.0,1.73
F. de Keijzer,23,Netherlands,193,83,68,GK,50,66,68,37,68,70,31,70,37,44,1.0,1.93
G. Links,24,South Africa,170,64,68,LB,85,55,64,71,56,66,77,63,89,61,0.0,1.7
J. Perea,23,Colombia,180,80,68,ST,81,68,59,69,27,67,64,67,76,70,1.0,1.8
S. Núñez,23,Argentina,186,86,68,CB,59,28,45,44,67,80,87,82,51,42,1.0,1.86
D. Cáceres,25,Paraguay,178,64,68,LB,81,36,55,63,64,69,83,64,74,63,0.0,1.78
M. Taloverov,23,Ukraine,195,84,68,CB,58,38,54,56,67,75,69,80,51,52,1.0,1.95
F. Zanelatto,23,Paraguay,175,70,68,RW,75,66,62,69,50,66,75,65,77,65,1.0,1.75
Butzke,24,Spain,193,85,68,ST,73,68,46,65,23,53,55,58,56,45,1.0,1.93
I. Gheorghe,23,Romania,171,63,68,LW,87,61,63,68,42,62,86,53,85,65,1.0,1.71
R. Vaca,24,Bolivia,176,61,68,CAM,74,67,67,71,26,37,80,22,82,61,1.0,1.76
Chapela,24,Spain,181,73,68,RW,74,65,63,71,30,46,33,53,72,60,1.0,1.81
B. van Rooij,22,Netherlands,174,72,68,RB,82,36,58,66,60,64,81,60,69,48,1.0,1.74
L. Riascos,22,Colombia,179,71,68,RB,80,31,51,57,63,67,86,63,81,33,1.0,1.79
L. Engel,24,Denmark,178,72,68,LB,82,56,61,66,60,69,80,65,68,57,0.0,1.78
A. Mulet,23,Argentina,183,74,68,CM,71,51,66,70,62,72,83,66,71,63,1.0,1.83
G. Peredo,23,Bolivia,168,68,68,RW,81,65,59,68,44,63,73,68,74,53,1.0,1.68
F. Vargas,24,Venezuela,178,72,68,LW,79,64,65,69,44,63,74,69,77,68,0.0,1.78
D. Duarte,23,Cape Verde Islands,178,68,68,CM,71,64,65,69,61,74,75,73,72,68,1.0,1.78
Zé Carlos,24,Portugal,177,72,68,RB,77,39,56,67,64,65,79,57,59,54,1.0,1.77
C. Heimeroth,35,Germany,194,91,68,GK,52,61,57,27,70,80,36,80,27,12,1.0,1.94
E. Cañete,24,Argentina,183,76,68,CAM,65,66,68,69,52,69,78,70,68,70,1.0,1.83
A. Maldonado,25,Argentina,187,85,68,CB,51,32,42,46,69,77,71,84,45,36,1.0,1.87
J. Koroma,24,England,178,66,68,LW,81,66,59,70,38,57,69,57,73,61,1.0,1.78
S. Floranus,24,Curacao,181,74,68,RB,85,46,58,68,61,73,74,71,81,44,1.0,1.81
U. Güneş,23,Turkey,177,74,68,CM,65,51,63,66,64,66,70,64,59,64,0.0,1.77
D. Callender,25,United States,188,88,68,GK,47,63,63,23,68,74,30,74,23,25,1.0,1.88
R. Gagno,25,Italy,186,78,68,GK,56,63,60,32,69,60,35,60,32,23,1.0,1.86
S. Ingelsson,25,Sweden,189,83,68,CAM,75,60,66,67,60,77,86,75,73,69,0.0,1.89
M. Bola,25,England,185,78,68,LB,74,35,54,63,65,71,81,71,64,44,0.0,1.85
Jorge Sáenz,26,Spain,192,75,68,CB,61,41,55,60,67,74,78,76,55,56,1.0,1.92
Hugo Souza,24,Brazil,199,92,68,GK,48,66,67,53,69,71,22,71,53,39,1.0,1.99
W. Willumsson,24,Iceland,193,84,68,CAM,60,63,70,69,53,77,81,82,62,70,0.0,1.93
H. Šabanović,23,Bosnia and Herzegovina,182,75,68,RB,67,39,55,63,68,68,68,68,54,53,1.0,1.82
M. Hiller,26,Germany,189,88,68,GK,52,61,56,41,71,52,19,52,41,27,1.0,1.89
M. Şengezer,26,Turkey,192,80,68,GK,52,65,65,42,68,58,22,58,42,32,1.0,1.92
Carlos Isaac,25,Spain,184,74,68,RB,72,38,53,60,65,69,71,75,50,38,1.0,1.84
J. Tymon,24,England,180,75,68,LB,75,52,67,65,62,71,80,66,67,66,0.0,1.8
B. Risa,25,Norway,188,79,68,CB,74,56,61,65,67,74,83,71,67,54,0.0,1.88
S. Odey,25,Nigeria,182,78,68,ST,84,65,48,70,35,73,81,75,81,52,1.0,1.82
M. García,24,Colombia,180,66,68,ST,86,68,45,66,25,68,73,76,71,51,1.0,1.8
J. Bolívar,23,Peru,177,84,68,LB,77,59,63,64,62,68,75,69,70,63,0.0,1.77
M. Amoura,23,Algeria,170,61,68,RW,91,63,58,70,45,54,71,41,92,55,0.0,1.7
T. Galdames,24,Chile,177,81,68,LB,71,52,66,57,65,74,74,74,67,53,0.0,1.77
D. Sterling,23,England,186,81,68,RB,75,48,57,64,65,70,65,75,69,59,1.0,1.86
M. Frese,25,Denmark,179,75,68,LB,78,63,65,70,61,64,69,64,75,67,0.0,1.79
D. Vente,24,Netherlands,181,70,68,ST,74,67,55,66,27,57,65,62,75,62,1.0,1.81
L. Itter,24,Germany,183,74,68,LB,84,42,60,67,64,62,64,63,66,49,0.0,1.83
H. Kane,24,England,175,67,68,CM,68,59,67,68,60,73,85,68,82,69,1.0,1.75
R. Sykes,24,England,196,73,68,CB,40,47,53,54,67,79,72,85,33,51,1.0,1.96
A. Di Pardo,23,Italy,182,75,68,RB,70,51,66,70,63,63,68,60,76,60,1.0,1.82
F. Krüger,24,Germany,186,81,68,ST,83,66,57,69,22,71,71,74,70,64,1.0,1.86
M. Raab,24,Germany,186,82,68,GK,46,67,66,24,69,45,23,45,24,33,1.0,1.86
A. Opoku,24,Germany,185,76,68,RW,84,56,62,72,39,61,71,57,81,62,1.0,1.85
J. Rodríguez,24,Ecuador,180,65,68,LB,83,53,58,67,62,58,67,60,75,52,0.0,1.8
B. Milovanov,25,Ukraine,178,75,68,RB,73,39,51,62,67,74,81,73,66,43,1.0,1.78
G. Chávez,24,Peru,180,74,68,CB,60,27,48,57,68,72,72,73,53,46,1.0,1.8
V. Müller,24,Austria,175,69,68,CDM,70,58,65,68,62,68,81,62,74,69,1.0,1.75
L. Mosevich,26,Argentina,187,81,68,CB,36,39,40,43,69,76,67,83,32,40,1.0,1.87
G. Calò,26,Italy,180,74,68,CDM,64,49,63,61,62,71,73,70,57,65,1.0,1.8
Larrazabal,25,Spain,180,78,68,RB,77,62,63,65,58,71,79,79,79,60,1.0,1.8
Abdu Conté,25,Portugal,183,78,68,LB,71,46,53,67,65,77,73,80,67,41,0.0,1.83
K. Sidibé,24,France,200,85,68,CDM,39,45,56,58,67,77,73,82,46,52,1.0,2.0
Sergio González,26,Spain,184,70,68,CB,64,43,58,59,67,76,86,75,57,62,1.0,1.84
Montero,24,Spain,185,80,68,CB,65,29,52,59,67,71,59,73,59,40,0.0,1.85
G. May,25,Uruguay,178,76,68,ST,71,68,49,67,22,59,63,68,76,48,0.0,1.78
R. Marchizza,25,Italy,186,80,68,LB,57,30,57,64,69,65,56,72,59,45,0.0,1.86
A. Verschueren,26,Belgium,184,73,68,CM,72,57,62,66,68,75,86,69,71,67,1.0,1.84
J. Karlstrøm,26,Norway,200,90,68,GK,54,68,69,38,69,72,28,72,38,48,1.0,2.0
R. Ledson,25,England,175,69,68,CDM,64,55,66,65,63,76,82,67,71,68,1.0,1.75
Miquel Parera,27,Spain,182,77,68,GK,55,65,64,42,68,41,44,41,42,29,1.0,1.82
M. Šarkić,25,Montenegro,195,76,68,GK,52,67,67,33,68,42,20,42,33,22,1.0,1.95
M. Vargas,27,Chile,184,80,68,GK,58,67,65,38,67,71,42,71,38,29,1.0,1.84
S. Sadzoute,25,France,172,56,68,LB,78,46,59,68,62,62,77,57,75,52,0.0,1.72
A. Bruus,24,Denmark,183,67,68,RB,85,54,64,65,58,72,80,73,69,61,1.0,1.83
P. Bråtveit,27,Norway,187,72,68,GK,58,67,68,39,68,62,38,62,39,43,1.0,1.87
E. Sokler,24,Slovenia,187,74,68,ST,75,67,55,66,41,60,59,60,71,56,1.0,1.87
L. Fridrikas,25,Austria,180,75,68,ST,77,68,61,68,30,65,79,65,74,62,1.0,1.8
E. Achouri,24,Tunisia,177,70,68,LW,81,63,61,70,31,50,66,47,74,63,1.0,1.77
Nuno Moreira,24,Portugal,175,66,68,LW,73,66,67,71,33,48,62,48,67,68,0.0,1.75
L. Brouwers,25,Netherlands,183,76,68,CDM,57,59,63,64,64,73,81,71,61,61,1.0,1.83
N. Garayalde,23,Argentina,182,76,68,CM,70,56,66,70,61,68,70,65,78,71,1.0,1.82
B. Goller,24,Germany,180,75,68,RW,79,66,59,71,52,51,75,43,80,59,1.0,1.8
J. Torres,26,Argentina,165,61,68,CF,80,61,62,76,34,48,66,42,92,64,0.0,1.65
M. Choinière,24,Canada,175,68,68,CM,62,59,67,70,62,58,86,54,73,65,1.0,1.75
N. D'Agostino,25,Australia,175,77,68,ST,83,66,59,69,36,77,86,81,83,64,1.0,1.75
Rafael Camacho,23,Portugal,175,65,68,RW,77,61,64,71,54,58,68,58,84,68,1.0,1.75
S. Ambrosius,24,Ghana,182,80,68,CB,65,30,45,52,67,74,59,80,71,32,1.0,1.82
M. Hoedemakers,25,Netherlands,181,75,68,CDM,63,56,68,65,63,73,86,73,64,65,0.0,1.81
C. Rivas,26,Venezuela,168,61,68,CDM,65,59,60,67,66,67,71,64,73,68,1.0,1.68
A. Andrade,24,Panama,187,78,68,CB,74,51,59,64,66,76,79,76,59,56,0.0,1.87
M. Thalhammer,25,Germany,190,80,68,CDM,65,46,59,62,64,75,76,78,56,54,1.0,1.9
K. Dabila,26,Côte d'Ivoire,183,80,68,CB,49,31,47,54,70,69,64,72,40,32,1.0,1.83
T. Edwards,24,England,175,76,68,RB,75,46,61,62,63,77,76,75,63,58,1.0,1.75
S. Gnaka,24,Côte d'Ivoire,179,73,68,CDM,66,37,62,65,70,63,72,56,79,64,0.0,1.79
K. Baccus,25,Australia,178,67,68,CM,77,54,62,69,68,70,88,63,82,66,1.0,1.78
I. Pettersson,26,Sweden,181,84,68,GK,58,69,74,37,69,54,34,54,37,60,0.0,1.81
Z. Vyner,26,England,187,73,68,CB,69,35,56,61,68,71,73,73,64,52,1.0,1.87
C. Lang,24,England,180,70,68,RW,82,65,60,69,38,70,79,61,79,61,1.0,1.8
Vallejo,28,Spain,180,61,68,GK,56,67,66,37,66,55,44,55,37,19,1.0,1.8
S. Kowalczyk,24,Poland,170,60,68,CAM,81,63,63,71,43,52,80,32,92,68,1.0,1.7
M. Kallesøe,26,Denmark,193,82,68,RB,80,55,59,66,61,72,84,72,69,57,1.0,1.93
C. Walton,27,England,195,72,68,GK,52,66,64,32,68,56,30,56,32,57,0.0,1.95
I. Vázquez,26,Argentina,188,84,68,CB,48,29,40,43,69,76,65,83,44,26,0.0,1.88
Juan Pérez,26,Spain,191,83,68,GK,52,64,62,34,70,69,28,69,34,30,1.0,1.91
N. Körber,26,Germany,187,83,68,GK,54,61,59,46,70,55,28,55,46,21,1.0,1.87
G. Sangaré,26,Burkina Faso,180,76,68,CDM,58,39,53,59,66,72,71,70,63,46,1.0,1.8
K. Caliskaner,23,Germany,192,87,68,CAM,77,64,57,68,23,73,74,81,65,68,1.0,1.92
M. Sala,24,Italy,182,72,68,LB,78,54,66,68,62,63,72,58,74,63,0.0,1.82
L. Picco,24,Argentina,188,79,68,CDM,54,58,61,63,65,73,71,74,53,63,1.0,1.88
D. Michalski,25,Poland,189,90,68,CB,59,56,55,59,66,82,78,90,65,53,1.0,1.89
M. McGuinness,22,Republic of Ireland,194,70,68,CB,54,35,47,57,67,78,66,86,48,43,1.0,1.94
Y. Nader,24,United Arab Emirates,176,78,68,CDM,59,49,57,61,66,77,84,75,54,56,1.0,1.76
S. Al Najai,26,Saudi Arabia,176,68,68,CAM,69,65,65,70,57,65,72,66,73,65,1.0,1.76
S. Singh,24,New Zealand,177,70,68,CAM,68,63,68,70,48,57,65,51,80,74,0.0,1.77
S. Mailat,25,Romania,170,62,68,LW,83,66,60,70,28,47,77,34,84,56,1.0,1.7
C. Gondo,26,Côte d'Ivoire,187,75,68,ST,71,69,46,62,22,65,62,69,56,48,1.0,1.87
A. Da Cruz,26,Cape Verde Islands,186,74,68,CAM,74,69,61,72,36,62,53,65,74,58,1.0,1.86
F. Ronstadt,25,Germany,179,76,68,RB,76,51,60,66,62,67,69,69,71,44,1.0,1.79
S. McLoughlin,26,Republic of Ireland,191,89,68,CB,57,31,53,56,69,73,69,77,51,45,0.0,1.91
A. Jakubech,26,Slovakia,188,85,68,GK,54,64,64,35,69,70,29,70,35,39,1.0,1.88
A. De Sart,26,Belgium,180,66,68,CM,58,64,68,69,67,64,66,61,72,68,1.0,1.8
