name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm,position_encoded
Daniel,21,Brazil,172,66,70,CAM,74,62,68,76,43,50,60,46,75,68,1.0,1.72,0
Zezinho,23,Brazil,174,63,70,LW,75,67,66,72,34,46,50,41,82,69,0.0,1.74,7
B. Karadeniz,24,Turkey,192,87,70,ST,47,72,55,61,24,75,58,88,32,48,1.0,1.92,10
Alan Santos,24,Brazil,182,76,70,CDM,68,56,66,66,67,69,74,65,60,66,1.0,1.82,2
Marinho,25,Brazil,168,62,70,CAM,78,63,66,77,27,55,64,55,81,65,0.0,1.68,0
M. Kone,28,Côte d'Ivoire,180,71,70,CM,77,58,64,70,66,82,83,86,77,62,1.0,1.8,4
D. Stracqualursi,30,Argentina,190,86,70,ST,48,71,50,61,39,72,53,90,51,44,1.0,1.9,10
S. Medojević,27,Serbia,183,78,70,CDM,66,47,61,64,71,74,68,75,66,55,1.0,1.83,2
V. Dyakov,29,Russia,192,86,70,CB,42,60,48,46,71,75,69,81,42,36,1.0,1.92,1
M. Budimir,32,Croatia,193,99,70,ST,68,71,35,54,32,75,52,92,49,44,1.0,1.93,10
Alberto Martín,29,Spain,179,73,70,CDM,50,50,64,66,63,72,83,69,62,62,1.0,1.79,2
E. Oikonomou,30,Greece,186,88,70,CB,68,47,61,60,69,73,66,77,52,46,0.0,1.86,1
Jorginho,27,Brazil,182,65,70,RW,69,52,69,72,42,51,74,40,71,70,1.0,1.82,9
M. Casierra,32,Colombia,175,68,70,LB,79,42,52,58,68,73,77,72,77,36,0.0,1.75,6
L. Cáceda,30,Paraguay,190,89,70,CB,60,25,35,41,70,76,57,87,40,25,1.0,1.9,1
A. Ábalos,32,Argentina,165,67,70,CAM,69,63,70,70,41,47,71,37,59,79,1.0,1.65,0
R. Rezaeian,28,Iran,183,80,70,RB,72,62,71,68,66,71,68,72,64,67,1.0,1.83,8
Nathan Otávio,28,Brazil,186,88,70,CB,64,34,51,50,70,71,59,78,61,38,1.0,1.86,1
M. Morys,31,Germany,184,78,70,LW,92,62,62,69,31,70,80,67,78,64,1.0,1.84,7
D. Álvarez,36,Colombia,173,70,70,ST,62,69,60,69,30,60,30,71,69,65,1.0,1.73,10
Javi Márquez,32,Spain,179,72,70,CM,47,70,73,71,60,63,45,68,70,75,0.0,1.79,4
I. El Adoua,31,Morocco,189,79,70,CDM,58,46,59,55,72,76,66,82,39,54,1.0,1.89,2
M. Hartmann,32,Germany,183,77,70,ST,70,69,61,65,34,72,78,72,70,60,1.0,1.83,10
Felipe Silva,28,Brazil,171,76,70,CAM,69,59,64,71,26,60,72,62,79,72,1.0,1.71,0
S. Manolev,32,Bulgaria,186,79,70,RB,73,60,65,71,63,77,86,72,69,55,1.0,1.86,8
Baena,29,Spain,181,72,70,CDM,40,54,65,61,70,70,57,72,45,65,1.0,1.81,2
A. Machado,33,Panama,182,71,70,CB,61,33,48,53,69,75,73,77,59,56,1.0,1.82,1
A. Bernardini,31,Italy,191,73,70,CB,62,35,45,43,70,74,75,75,49,47,1.0,1.91,1
Jona,29,Honduras,183,80,70,ST,71,69,55,65,36,71,62,80,71,66,1.0,1.83,10
J. Bokila,29,Congo DR,187,81,70,ST,75,68,57,64,35,68,66,78,67,59,0.0,1.87,10
D. Böde,31,Hungary,190,85,70,ST,65,68,65,61,34,77,54,92,59,67,1.0,1.9,10
R. Guzmics,31,Hungary,190,80,70,CB,65,35,48,47,65,81,68,87,45,26,1.0,1.9,1
Willian Rocha,29,Brazil,185,83,70,CB,49,45,58,65,68,75,62,81,66,60,0.0,1.85,1
Luiz Antônio,27,Brazil,184,77,70,CDM,68,68,69,71,68,73,76,70,68,68,1.0,1.84,2
D. Rangelov,35,Bulgaria,183,80,70,ST,54,68,65,68,40,68,55,75,70,62,1.0,1.83,10
J. San Román,29,Argentina,172,70,70,RB,65,21,54,65,72,70,83,65,60,53,1.0,1.72,8
M. Petržela,35,Czech Republic,172,65,70,RW,79,67,65,70,33,55,72,44,78,61,1.0,1.72,9
J. Ramaré,34,France,180,74,70,CDM,38,46,68,65,65,72,82,70,71,69,1.0,1.8,2
J. Palmieri,31,France,170,66,70,LB,72,61,72,73,67,69,66,64,73,68,0.0,1.7,6
E. Bourgaud,30,France,178,77,70,LW,66,66,71,71,43,62,72,60,72,72,0.0,1.78,7
C. M'Bengue,29,Senegal,182,79,70,LB,68,42,61,63,69,71,70,72,65,54,0.0,1.82,6
A. Vršajevič,32,Bosnia and Herzegovina,179,76,70,RB,78,58,69,67,68,67,65,69,75,67,1.0,1.79,8
A. Bouka Moutou,29,Congo,176,76,70,LB,70,22,61,69,66,66,70,62,68,49,0.0,1.76,6
L. Mchedlidze,28,Georgia,192,87,70,ST,62,67,55,66,35,72,52,84,58,60,0.0,1.92,10
A. Putsila,31,Belarus,180,74,70,CAM,69,68,67,74,49,65,70,69,75,65,1.0,1.8,0
B. Mokulu,28,Congo DR,187,85,70,ST,78,63,59,67,27,80,71,91,64,60,1.0,1.87,10
M. Mostefa,34,Algeria,181,82,70,CDM,50,52,62,62,66,77,72,79,52,64,1.0,1.81,2
E. Imorou,29,Benin,181,78,70,LB,73,54,65,64,69,72,77,69,71,65,0.0,1.81,6
J. Hegeler,30,Germany,193,86,70,CB,51,62,68,64,69,65,50,75,49,68,1.0,1.93,1
Bruno Gallo,30,Brazil,180,78,70,CM,66,64,70,70,62,69,68,72,69,71,0.0,1.8,4
J. Valenzuela,34,Mexico,177,77,70,CB,64,41,56,54,70,71,61,75,63,55,1.0,1.77,1
F. Rodríguez,36,Mexico,191,90,70,CB,35,46,50,44,68,74,39,90,31,49,1.0,1.91,1
C. Janker,33,Germany,185,78,70,CB,50,34,45,49,71,65,37,74,55,39,1.0,1.85,1
J. Legear,31,Belgium,180,77,70,LW,67,69,70,71,42,58,53,61,69,68,1.0,1.8,7
K. Hämäläinen,31,Finland,187,74,70,LW,75,69,66,68,48,64,66,69,72,75,1.0,1.87,7
N. Fernández,39,Argentina,195,85,70,GK,56,66,62,58,72,78,37,78,58,27,1.0,1.95,5
M. Kelemen,38,Slovakia,188,84,70,GK,48,67,66,35,68,44,30,44,35,10,0.0,1.88,5
M. Bunn,33,England,183,77,70,GK,58,72,74,54,69,60,33,60,54,44,1.0,1.83,5
C. Mandanne,33,France,171,63,70,ST,76,69,68,73,42,58,69,48,90,72,1.0,1.71,10
T. Kristensen,35,Denmark,188,79,70,CDM,54,60,68,63,63,78,83,77,44,65,1.0,1.88,2
F. Valiani,37,Italy,173,70,70,CM,64,65,68,71,54,77,89,78,80,67,1.0,1.73,4
L. Cattermole,30,England,178,76,70,CDM,55,56,64,64,68,75,69,73,64,62,1.0,1.78,2
P. Granoche,34,Uruguay,182,82,70,ST,67,66,57,65,24,82,78,91,74,50,1.0,1.82,10
Diego Capel,30,Spain,173,67,70,LW,78,63,64,76,39,49,67,34,85,61,0.0,1.73,7
M. Robak,35,Poland,182,78,70,ST,57,69,52,66,32,72,56,83,69,63,1.0,1.82,10
A. El Jadeyaoui,31,Morocco,177,70,70,LW,84,56,66,74,28,54,63,59,91,71,0.0,1.77,7
T. Kuszczak,36,Poland,191,84,70,GK,60,64,64,52,72,60,34,60,52,47,1.0,1.91,5
S. Roudet,37,France,174,71,70,CAM,57,63,72,71,49,60,55,63,75,72,0.0,1.74,0
Diego Barcelos,33,Brazil,171,70,70,CAM,71,67,66,74,34,49,43,44,76,67,1.0,1.71,0
K. Overmeire,32,Belgium,188,84,70,CDM,68,51,63,60,68,80,85,81,61,60,1.0,1.88,2
M. Ciani,34,France,192,88,70,CB,34,40,43,40,69,78,53,92,31,24,1.0,1.92,1
A. Abdi,31,Switzerland,180,75,70,CM,58,66,72,72,53,59,51,57,66,72,1.0,1.8,4
Javi Guerra,36,Spain,178,76,70,ST,61,72,58,67,38,70,65,76,65,58,1.0,1.78,10
J. Marveaux,35,France,179,72,70,CDM,51,53,62,61,70,72,74,71,63,62,1.0,1.79,2
L. Mazzoni,34,Italy,190,78,70,GK,48,71,73,29,70,40,29,40,29,33,1.0,1.9,5
R. Braña,39,Argentina,169,70,70,CDM,40,58,69,69,70,59,40,61,60,69,1.0,1.69,2
E. Korkmaz,35,Turkey,183,83,70,CB,50,38,42,47,71,68,48,73,47,22,0.0,1.83,1
I. Uche,34,Nigeria,172,70,70,ST,73,69,58,70,31,68,58,77,86,61,1.0,1.72,10
César Arzo,32,Spain,184,80,70,CB,43,50,62,60,69,71,63,76,57,59,1.0,1.84,1
H. Bedimo,34,Cameroon,180,80,70,LB,65,58,66,66,69,71,66,74,61,57,0.0,1.8,6
R. Raldes,37,Bolivia,180,78,70,CB,46,47,43,50,72,68,53,75,59,48,1.0,1.8,1
A. Faurlín,31,Argentina,185,79,70,CDM,40,59,70,63,66,73,56,80,58,74,0.0,1.85,2
J. Silbeira,22,Paraguay,186,91,70,GK,58,63,60,46,70,48,51,48,46,17,1.0,1.86,5
B. Khuzwayo,28,South Africa,190,75,70,GK,56,72,73,31,70,59,26,59,31,43,1.0,1.9,5
Rodolfo,25,Brazil,169,72,70,CAM,80,67,64,75,38,53,63,48,81,64,0.0,1.69,0
P. Budkivskyi,26,Ukraine,196,81,70,ST,70,69,47,65,31,69,73,73,63,43,1.0,1.96,10
Bismark,24,Brazil,170,78,70,LW,90,67,62,71,33,66,76,66,83,66,1.0,1.7,7
Y. Kobayashi,26,Japan,182,72,70,CM,66,61,70,74,51,63,83,63,82,71,0.0,1.82,4
Y. Kalfa,25,Syria,175,73,70,CAM,69,66,69,73,37,63,70,68,74,69,1.0,1.75,0
A. Kali,27,Morocco,172,67,70,CDM,63,57,74,72,62,66,68,61,75,73,0.0,1.72,2
C. Kouakou,27,Côte d'Ivoire,182,72,70,ST,87,68,60,71,33,69,71,75,81,51,1.0,1.82,10
Tiago Mesquita,27,Portugal,180,74,70,RB,68,42,49,67,67,75,78,71,64,40,1.0,1.8,8
Platiny,27,Brazil,178,64,70,ST,74,72,48,66,24,57,57,63,74,59,1.0,1.78,10
Luis García,37,Spain,178,65,70,CM,53,68,73,69,57,63,64,60,62,73,1.0,1.78,4
G. Pinzi,37,Italy,180,76,70,CDM,63,60,65,67,70,70,74,67,69,65,1.0,1.8,2
C. Tiffert,36,Germany,182,79,70,CB,47,61,72,70,71,72,75,74,73,72,1.0,1.82,1
M. Brighi,37,Italy,178,77,70,CM,52,64,71,67,63,68,63,71,56,74,1.0,1.78,4
B. Myhill,35,Wales,191,92,70,GK,56,69,69,51,69,63,29,63,51,40,1.0,1.91,5
P. Mahlambi,20,South Africa,172,70,70,CAM,85,64,64,71,39,52,61,49,62,68,1.0,1.72,0
A. Timofeev,24,Russia,185,74,70,CDM,70,54,58,61,69,72,72,71,58,56,1.0,1.85,2
Cotán,22,Spain,176,67,70,CDM,62,53,66,71,68,52,67,40,74,71,1.0,1.76,2
A. Bencharki,23,Morocco,179,70,70,LW,77,65,65,74,43,63,66,63,73,65,1.0,1.79,7
Filipe Chaby,24,Portugal,174,64,70,RW,74,58,65,76,41,50,67,41,82,72,0.0,1.74,9
N. Carreño,24,Colombia,176,76,70,LB,74,35,56,56,71,70,78,71,71,48,0.0,1.76,6
I. Mystakidis,23,Greece,181,76,70,ST,75,68,63,73,36,67,69,65,71,61,1.0,1.81,10
K. Mahachi,24,Zimbabwe,179,72,70,LW,85,59,71,72,58,74,66,75,78,73,1.0,1.79,7
S. Abdullahi,25,Nigeria,181,72,70,CB,75,46,67,65,67,74,82,72,66,64,1.0,1.81,1
K. Otigba,25,Hungary,187,84,70,CB,81,36,47,58,66,80,68,87,69,40,1.0,1.87,1
Pedro Pinto,23,Portugal,187,78,70,CB,57,32,50,55,70,73,67,78,45,33,1.0,1.87,1
R. Boakye,25,Ghana,186,80,70,ST,80,67,55,66,34,66,55,75,74,62,1.0,1.86,10
G. Gianniotas,25,Greece,174,72,70,LW,85,66,66,72,35,63,68,58,88,63,1.0,1.74,7
E. Martínez,23,Uruguay,183,77,70,CB,69,40,50,55,71,71,68,75,71,41,0.0,1.83,1
V. Larralde,20,Argentina,170,63,70,RW,71,60,70,71,60,51,67,41,76,69,1.0,1.7,9
Moreto Cassamá,23,Guinea Bissau,165,63,70,CDM,72,57,68,75,65,62,76,51,89,69,1.0,1.65,2
J. Medina,24,Paraguay,178,70,70,RW,71,67,70,68,34,55,73,52,72,73,0.0,1.78,9
M. Polidar,21,Czech Republic,179,73,70,LB,78,62,64,70,64,68,71,64,71,64,0.0,1.79,6
I. Brown,24,England,182,70,70,CAM,72,64,68,73,44,61,59,65,80,74,1.0,1.82,0
G. Donsah,25,Ghana,176,80,70,CM,70,63,70,73,66,74,79,71,78,70,1.0,1.76,4
A. Leya Iseka,23,Belgium,183,82,70,ST,82,71,60,69,27,71,69,76,67,59,1.0,1.83,10
C. Rivera,25,Colombia,184,78,70,CDM,58,58,63,66,67,71,73,75,67,65,1.0,1.84,2
A. Iniestra,25,Mexico,177,80,70,CM,53,56,67,66,67,70,76,71,63,71,1.0,1.77,4
J. Brunetta,24,Argentina,172,68,70,LW,69,71,73,69,46,58,66,53,76,71,1.0,1.72,7
A. Gaich,22,Argentina,190,79,70,ST,68,69,55,67,29,68,68,79,64,61,1.0,1.9,10
Y. Hamache,21,France,177,73,70,LB,77,61,67,71,64,68,70,68,69,67,0.0,1.77,6
M. Wagué,22,Senegal,177,70,70,RB,77,40,61,71,67,66,69,60,73,59,1.0,1.77,8
Marquinhos Cipriano,22,Brazil,173,68,70,LB,79,54,64,69,63,60,71,58,78,58,0.0,1.73,6
V. Loroña,22,Mexico,180,75,70,RB,77,37,59,69,66,71,74,68,84,45,1.0,1.8,8
D. Kulikov,23,Russia,178,66,70,CDM,69,54,66,67,70,55,58,46,65,62,1.0,1.78,2
E. Aguirre,22,Mexico,176,75,70,ST,82,68,58,71,31,66,75,71,80,61,1.0,1.76,10
N. Umyarov,21,Russia,182,73,70,CDM,64,47,65,69,67,64,72,59,61,67,1.0,1.82,2
F. Beltrán,23,Mexico,163,64,70,CDM,71,57,69,72,65,53,65,45,75,70,1.0,1.63,2
I. Govea,24,Mexico,176,69,70,RB,85,32,52,66,66,73,79,70,73,52,1.0,1.76,8
Robson Bambu,23,Brazil,185,72,70,CB,73,41,55,60,71,69,66,70,69,51,1.0,1.85,1
H. Ongenda,26,France,171,72,70,CAM,77,64,70,73,34,62,77,61,83,72,1.0,1.71,0
L. Cárdenas,27,Mexico,183,84,70,GK,57,69,68,32,70,67,28,67,32,60,1.0,1.83,5
C. Aboagye,26,Ghana,165,55,70,CM,76,58,72,75,52,44,68,31,87,75,1.0,1.65,4
Y. Moreno,26,Colombia,182,82,70,LB,78,58,64,71,65,65,70,64,77,50,0.0,1.82,6
D. Ramírez,25,Mexico,166,67,70,RB,84,60,63,70,64,63,70,64,75,58,1.0,1.66,8
R. Niyaz,26,Turkey,165,60,70,CAM,75,58,70,72,61,55,70,50,85,71,0.0,1.65,0
Rafael Ramos,26,Portugal,170,70,70,RB,76,50,61,68,66,76,81,75,75,65,1.0,1.7,8
D. Cools,25,Belgium,184,77,70,RB,75,57,65,67,64,76,81,76,70,64,1.0,1.84,8
D. Rybchinskiy,22,Russia,178,64,70,RW,76,56,68,68,48,53,75,39,74,64,1.0,1.78,9
S. Sithole,22,South Africa,188,80,70,CDM,65,60,64,67,67,75,74,78,56,68,1.0,1.88,2
V. Dávila,23,Chile,172,68,70,ST,70,70,65,74,32,63,67,65,77,67,0.0,1.72,10
K. Balanta,24,Colombia,181,73,70,CM,83,57,60,67,68,78,89,70,72,63,1.0,1.81,4
O. Azubuike,24,Nigeria,170,70,70,CDM,72,42,61,65,68,74,84,71,74,57,1.0,1.7,2
E. Chaux,29,Colombia,189,75,70,GK,60,62,60,40,71,76,38,76,40,20,1.0,1.89,5
T. Kida,26,Japan,170,64,70,CDM,72,44,61,66,63,69,92,52,79,60,1.0,1.7,2
A. Beiranvand,28,Iran,196,85,70,GK,56,62,63,32,71,79,21,79,32,28,1.0,1.96,5
U. Ekpai,25,Nigeria,176,74,70,RW,80,63,66,70,25,69,83,63,74,67,1.0,1.76,9
J. Acevedo,23,Venezuela,179,73,70,ST,72,70,61,67,38,73,80,78,62,62,1.0,1.79,10
Júnior Santos,26,Brazil,188,85,70,ST,70,70,52,68,26,74,57,91,64,54,1.0,1.88,10
L. Đorđević,26,Montenegro,185,74,70,ST,78,68,62,70,32,60,66,68,75,62,1.0,1.85,10
V. García,27,Venezuela,178,71,70,RB,79,40,59,70,64,70,77,61,81,52,1.0,1.78,8
M. Estrada,25,Ecuador,184,78,70,ST,73,64,50,67,24,72,54,80,71,51,1.0,1.84,10
L. Ranđelović,23,Serbia,177,68,70,RW,80,67,66,69,33,61,69,58,72,58,1.0,1.77,9
G. Del Prete,25,Argentina,175,64,70,ST,66,71,50,68,27,56,64,52,66,41,0.0,1.75,10
G. Lajud,27,Mexico,189,84,70,GK,60,62,61,33,72,67,37,67,33,46,1.0,1.89,5
O. Govea,25,Mexico,174,74,70,CM,60,57,70,71,68,66,67,62,75,73,1.0,1.74,4
Philipe Sampaio,26,Brazil,191,83,70,CB,31,37,47,46,71,82,74,91,47,30,1.0,1.91,1
U. Rivas,25,Mexico,179,71,70,CM,63,59,67,66,65,71,88,65,63,60,1.0,1.79,4
C. Calderón,24,Mexico,176,69,70,LB,81,53,61,67,64,67,69,62,73,49,0.0,1.76,6
E. Papa,39,Argentina,169,67,70,LB,70,47,72,70,65,65,75,57,79,71,0.0,1.69,6
E. Albayrak,30,Turkey,179,69,70,LB,80,65,68,71,65,65,71,64,75,68,0.0,1.79,6
A. Rebrov,37,Russia,193,90,70,GK,52,65,64,44,71,68,24,68,44,35,1.0,1.93,5
A. Tettey,35,Norway,180,68,70,CDM,55,63,63,63,71,76,68,79,65,57,1.0,1.8,2
G. Hoarau,37,France,193,85,70,ST,37,72,67,66,43,69,40,86,53,68,1.0,1.93,10
S. Taylor,35,England,188,91,70,CB,52,39,59,54,69,78,65,86,45,56,1.0,1.88,1
R. Verenas,37,Chile,186,82,70,ST,64,71,62,73,41,71,65,79,67,66,1.0,1.86,10
G. Gillet,37,Belgium,186,81,70,CDM,55,66,66,67,69,75,72,76,61,70,1.0,1.86,2
G. Miura,26,Japan,183,77,70,CB,51,31,50,47,72,75,77,77,42,33,1.0,1.83,1
K. Anzai,26,Japan,172,64,70,LB,89,57,64,69,61,58,88,43,76,57,1.0,1.72,6
S. Hatanaka,25,Japan,184,80,70,CB,48,36,55,55,69,75,72,82,51,37,1.0,1.84,1
J. Van den Bergh,26,Belgium,189,84,70,CB,66,52,58,61,71,74,73,76,58,58,0.0,1.89,1
A. Nukan,27,Turkey,196,86,70,CB,40,37,54,51,70,78,63,91,33,47,0.0,1.96,1
Adrián Ortolá,27,Spain,187,74,70,GK,62,71,74,54,71,54,43,54,54,62,0.0,1.87,5
L. García,28,Mexico,181,86,70,GK,61,67,65,32,72,71,40,71,32,62,1.0,1.81,5
V. Huerta,27,Chile,185,77,70,CB,43,24,41,41,71,79,74,87,60,32,0.0,1.85,1
S. Iacoponi,34,Italy,180,73,70,CB,76,32,49,55,73,71,84,67,74,47,1.0,1.8,1
F. Peluso,37,Italy,188,82,70,CB,49,49,58,59,73,67,59,72,55,38,0.0,1.88,1
G. Hooper,33,England,179,82,70,ST,59,72,61,67,30,68,52,79,64,65,1.0,1.79,10
Léo Silva,35,Brazil,181,76,70,CDM,49,67,70,71,65,76,81,75,75,72,1.0,1.81,2
M. Mavraj,35,Albania,189,84,70,CB,34,27,51,42,72,70,50,78,38,49,0.0,1.89,1
L. Barrios,36,Paraguay,188,84,70,ST,56,71,62,66,42,70,62,75,64,65,1.0,1.88,10
C. Yacob,33,Argentina,181,73,70,CDM,41,59,59,63,70,71,52,74,52,60,1.0,1.81,2
N. De Pauw,31,Congo DR,180,76,70,RW,68,66,68,69,61,76,74,78,66,71,1.0,1.8,9
A. Çalık,27,Turkey,184,77,70,CB,62,40,53,56,71,73,73,74,53,48,1.0,1.84,1
Felipe Pires,26,Brazil,178,68,70,LW,79,57,64,72,39,52,74,44,78,65,1.0,1.78,7
Kim Min Tae,27,Korea Republic,187,78,70,CB,63,36,53,54,71,75,77,81,57,36,1.0,1.87,1
Bruno Lamas,27,Brazil,176,70,70,CAM,67,63,69,72,48,61,72,58,64,72,0.0,1.76,0
J. Trindade,27,Uruguay,176,82,70,CDM,72,42,64,65,68,72,76,74,73,65,1.0,1.76,2
M. Káčer,27,Slovakia,172,73,70,CM,70,62,67,70,65,68,76,64,68,71,1.0,1.72,4
Thales,27,Brazil,178,73,70,RB,59,41,64,61,72,57,61,52,53,56,1.0,1.78,8
A. Boruc,41,Poland,193,88,70,GK,48,66,66,34,71,68,26,68,34,40,1.0,1.93,5
T. Viudez,31,Uruguay,166,64,70,ST,68,70,66,75,27,50,49,55,70,65,1.0,1.66,10
İ. Köybaşı,31,Turkey,178,70,70,LB,75,64,71,73,64,66,73,60,77,62,0.0,1.78,6
D. de Buen,29,Mexico,182,79,70,CDM,56,65,67,62,65,75,85,78,64,65,1.0,1.82,2
J. Isijara,31,Mexico,180,76,70,RW,71,63,66,71,47,65,75,66,73,57,1.0,1.8,9
Cristóbal,37,Spain,181,77,70,CDM,66,67,68,69,68,70,73,70,72,73,1.0,1.81,2
E. Prib,31,Russia,180,77,70,CM,61,67,69,70,65,68,74,67,68,68,0.0,1.8,4
Ö. Bayram,29,Turkey,173,73,70,LB,76,67,68,72,63,69,82,64,81,62,0.0,1.73,6
F. Pisacane,35,Italy,178,77,70,CB,60,26,52,62,72,66,59,66,59,41,1.0,1.78,1
A. Federici,36,Australia,188,90,70,GK,54,72,76,50,69,70,38,70,50,63,1.0,1.88,5
J. Błaszczykowski,35,Poland,175,67,70,RW,68,70,73,72,58,42,33,36,70,73,1.0,1.75,9
K. Nababkin,34,Russia,184,77,70,CB,68,59,62,60,70,73,74,72,63,53,1.0,1.84,1
A. Eschenko,37,Russia,176,74,70,RB,67,57,66,66,68,68,68,67,78,69,1.0,1.76,8
S. Bamba,36,Côte d'Ivoire,190,86,70,CB,35,28,41,52,71,72,31,91,32,38,1.0,1.9,1
L. Grabban,33,England,183,78,70,ST,61,71,59,68,31,67,67,74,71,56,1.0,1.83,10
P. Barrera,34,Mexico,178,72,70,RW,74,65,69,70,44,66,59,70,74,71,1.0,1.78,9
N. Dirar,35,Morocco,187,86,70,RW,71,65,68,71,66,75,68,80,71,67,1.0,1.87,9
H. Tekin,32,Turkey,183,75,70,GK,56,68,68,34,71,51,20,51,34,42,1.0,1.83,5
Aridai,32,Spain,168,73,70,RW,80,69,59,77,26,59,60,60,93,58,1.0,1.68,9
E. Çolak,30,Turkey,169,67,70,CAM,66,67,73,73,48,49,66,41,78,74,0.0,1.69,0
Douglas Vieira,33,Brazil,189,82,70,ST,61,70,62,65,28,79,74,88,66,59,1.0,1.89,10
André Martins,31,Portugal,168,65,70,CM,78,62,70,75,62,60,72,56,90,71,1.0,1.68,4
D. Kaiser,32,Germany,171,69,70,CM,63,66,70,71,57,68,78,62,76,69,1.0,1.71,4
N. Nikolić,33,Hungary,180,76,70,ST,64,70,60,67,31,67,63,73,65,63,1.0,1.8,10
Kim Jin Hyeon,33,Korea Republic,192,82,70,GK,52,63,61,45,72,50,33,50,45,57,1.0,1.92,5
Y. Sankharé,31,Senegal,184,76,70,CM,63,68,69,70,71,78,66,81,68,68,0.0,1.84,4
S. Ribas,33,Uruguay,189,80,70,ST,62,73,51,65,30,73,63,84,67,58,1.0,1.89,10
S. Candia,37,Paraguay,184,82,70,CB,60,42,50,51,70,72,70,73,57,35,1.0,1.84,1
P. Zeballos,35,Paraguay,180,75,70,CAM,66,71,69,69,33,62,75,57,63,75,1.0,1.8,0
Marcos Paulo,32,Brazil,181,78,70,CM,67,63,70,71,66,69,80,67,69,72,1.0,1.81,4
M. Ponce,32,Mexico,176,83,70,LB,70,56,63,65,66,78,78,80,67,50,0.0,1.76,6
N. Baker,30,England,189,82,70,CB,48,34,43,44,70,75,60,80,46,27,0.0,1.89,1
Z. Ondrášek,32,Czech Republic,187,84,70,ST,66,68,54,64,32,80,73,82,63,50,1.0,1.87,10
K. Coulibaly,29,Mali,197,87,70,ST,70,70,60,62,26,76,65,88,36,61,1.0,1.97,10
B. van Hintum,34,Netherlands,177,76,70,CB,52,53,70,64,71,68,62,71,62,60,0.0,1.77,1
Alison,28,Brazil,180,70,70,CDM,62,49,56,62,71,75,73,72,59,51,1.0,1.8,2
J. Vázquez,33,Mexico,166,64,70,CM,70,53,67,66,69,68,86,61,71,65,1.0,1.66,4
L. Quintana,29,Mexico,180,70,70,CB,50,42,53,62,70,77,76,80,64,52,1.0,1.8,1
R. Azeez,28,Nigeria,169,67,70,CDM,65,59,63,67,66,76,92,68,69,66,1.0,1.69,2
R. Cardozo,31,Bolivia,171,70,70,LW,74,63,68,68,55,53,85,44,73,70,0.0,1.71,7
J. Gómez,27,Mexico,176,67,70,RB,76,63,63,71,64,70,85,63,76,58,1.0,1.76,8
A. Potuk,30,Turkey,177,67,70,CAM,75,62,69,72,52,68,71,61,83,70,1.0,1.77,0
Marco Paixão,36,Portugal,185,79,70,ST,36,73,61,68,29,69,54,79,58,69,1.0,1.85,10
A. Zabolotnyi,30,Russia,191,90,70,ST,69,70,56,61,31,78,68,86,65,56,1.0,1.91,10
E. Larsson,29,Sweden,176,72,70,RB,65,54,66,65,64,79,90,72,74,70,1.0,1.76,8
Jordi Amat,29,Spain,184,83,70,CB,62,48,53,56,69,76,68,77,59,59,1.0,1.84,1
A. Kačaniklić,29,Sweden,181,72,70,RW,75,67,67,70,41,58,76,58,77,72,0.0,1.81,9
L. Mendoza,31,Mexico,173,72,70,RW,83,62,64,71,41,69,71,70,76,65,1.0,1.73,9
S. Ciss,32,Senegal,174,72,70,LB,80,62,62,67,65,79,76,80,74,58,0.0,1.74,6
I. Seck,31,Senegal,195,87,70,CDM,34,46,56,56,72,83,87,88,40,66,0.0,1.95,2
T. Okriashvili,29,Georgia,181,71,70,CAM,76,62,66,75,32,52,60,54,74,67,1.0,1.81,0
S. Gonda,32,Japan,187,83,70,GK,60,66,64,41,69,54,43,54,41,68,1.0,1.87,5
G. Mhango,28,Malawi,162,76,70,ST,77,73,50,70,21,64,66,74,75,58,1.0,1.62,10
G. Mastriani,28,Uruguay,180,76,70,ST,69,73,48,63,28,56,53,65,59,49,0.0,1.8,10
T. Hlatshwayo,31,South Africa,188,88,70,CB,59,29,48,37,70,73,55,82,49,26,1.0,1.88,1
L. Villagra,30,Paraguay,181,79,70,ST,72,72,60,64,24,67,68,78,69,59,0.0,1.81,10
V. Kjartansson,31,Iceland,187,80,70,ST,69,70,49,64,29,68,71,72,62,54,1.0,1.87,10
Álvaro Rey,31,Spain,183,78,70,RW,77,66,66,72,45,65,64,68,72,63,1.0,1.83,9
L. Griffiths,30,Scotland,174,77,70,ST,68,74,63,69,24,62,53,60,74,57,0.0,1.74,10
Thiago Galhardo,31,Brazil,183,75,70,ST,64,74,47,67,24,52,56,58,53,47,1.0,1.83,10
J. Ščuk,30,Bosnia and Herzegovina,184,71,70,CDM,58,62,67,69,68,68,73,67,69,71,1.0,1.84,2
M. de Leeuw,34,Netherlands,178,67,70,ST,53,69,61,68,58,69,72,65,61,68,1.0,1.78,10
S. Berahino,27,Burundi,180,82,70,CAM,71,71,66,72,29,64,58,73,64,67,1.0,1.8,0
Elber,29,Brazil,170,70,70,LW,85,64,64,73,25,51,66,44,83,68,1.0,1.7,7
J. Dezi,29,Italy,178,68,70,CM,76,66,66,70,62,67,93,53,74,69,1.0,1.78,4
